time_iso8601,forks_cumulative
2026-01-15 00:00:00+00:00,1
2026-01-16 00:00:00+00:00,6
2026-01-17 00:00:00+00:00,14
2026-01-18 00:00:00+00:00,17
2026-01-19 00:00:00+00:00,23
2026-01-20 00:00:00+00:00,24
2026-01-21 00:00:00+00:00,26
2026-01-22 00:00:00+00:00,30
2026-01-24 00:00:00+00:00,32
2026-01-25 00:00:00+00:00,33
2026-01-26 00:00:00+00:00,35
2026-01-27 00:00:00+00:00,36
2026-01-28 00:00:00+00:00,37
2026-01-30 00:00:00+00:00,38
2026-01-31 00:00:00+00:00,39
2026-02-02 00:00:00+00:00,41
2026-02-04 00:00:00+00:00,44
2026-02-05 00:00:00+00:00,46
2026-02-06 00:00:00+00:00,47
2026-02-08 00:00:00+00:00,48
2026-02-09 00:00:00+00:00,50
2026-02-10 00:00:00+00:00,52
2026-02-11 00:00:00+00:00,53
2026-02-12 00:00:00+00:00,54
2026-02-13 00:00:00+00:00,56
2026-02-15 00:00:00+00:00,58
2026-02-16 00:00:00+00:00,60
2026-02-18 00:00:00+00:00,63
2026-02-20 00:00:00+00:00,64
2026-02-21 00:00:00+00:00,65
2026-02-23 00:00:00+00:00,66
2026-02-25 00:00:00+00:00,69
2026-02-26 00:00:00+00:00,71
2026-02-27 00:00:00+00:00,72
2026-03-01 00:00:00+00:00,73
2026-03-05 00:00:00+00:00,74
