time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-21 00:00:00+00:00,43,25,451,66
2026-02-22 00:00:00+00:00,34,24,548,70
2026-02-23 00:00:00+00:00,57,37,596,116
2026-02-24 00:00:00+00:00,38,26,647,157
2026-02-25 00:00:00+00:00,91,56,931,212
2026-02-26 00:00:00+00:00,131,46,674,136
2026-02-27 00:00:00+00:00,95,35,541,145
2026-02-28 00:00:00+00:00,41,21,335,47
2026-03-01 00:00:00+00:00,41,27,315,49
2026-03-02 00:00:00+00:00,92,52,728,157
2026-03-03 00:00:00+00:00,72,51,570,118
2026-03-04 00:00:00+00:00,148,45,746,134
2026-03-05 00:00:00+00:00,130,66,756,146
2026-03-06 00:00:00+00:00,36,28,515,115
