url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1929,995
/awslabs/fullstack-solution-template-for-agentcore/pulls,253,37
/awslabs/fullstack-solution-template-for-agentcore/tree/main,248,124
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,190,81
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,165,73
/awslabs/fullstack-solution-template-for-agentcore/issues,161,35
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,92,49
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,86,46
/awslabs/fullstack-solution-template-for-agentcore/pull/38,81,13
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,72,50
