time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,57,35,347,134
2026-01-31 00:00:00+00:00,12,11,245,72
2026-02-01 00:00:00+00:00,14,13,73,39
2026-02-02 00:00:00+00:00,20,19,284,117
2026-02-03 00:00:00+00:00,21,20,394,153
2026-02-04 00:00:00+00:00,24,24,609,192
2026-02-05 00:00:00+00:00,17,17,400,151
2026-02-06 00:00:00+00:00,18,18,436,141
2026-02-07 00:00:00+00:00,7,7,85,32
2026-02-08 00:00:00+00:00,17,14,152,50
2026-02-09 00:00:00+00:00,11,9,588,224
2026-02-10 00:00:00+00:00,129,65,1135,398
2026-02-11 00:00:00+00:00,55,31,767,222
2026-02-12 00:00:00+00:00,37,31,910,236
2026-02-13 00:00:00+00:00,85,48,520,154
2026-02-14 00:00:00+00:00,93,33,429,76
2026-02-15 00:00:00+00:00,29,20,331,95
2026-02-16 00:00:00+00:00,105,43,395,147
2026-02-17 00:00:00+00:00,84,44,791,187
2026-02-18 00:00:00+00:00,38,29,816,180
2026-02-19 00:00:00+00:00,28,22,573,150
2026-02-20 00:00:00+00:00,61,36,651,178
2026-02-21 00:00:00+00:00,43,25,451,66
2026-02-22 00:00:00+00:00,34,24,548,70
2026-02-23 00:00:00+00:00,57,37,596,116
2026-02-24 00:00:00+00:00,38,26,647,157
2026-02-25 00:00:00+00:00,91,56,931,212
2026-02-26 00:00:00+00:00,131,46,674,136
2026-02-27 00:00:00+00:00,95,35,541,145
2026-02-28 00:00:00+00:00,41,21,335,47
2026-03-01 00:00:00+00:00,41,27,315,49
2026-03-02 00:00:00+00:00,92,52,728,157
2026-03-03 00:00:00+00:00,72,51,570,118
2026-03-04 00:00:00+00:00,148,45,746,134
